Week,Jim,Stanley,Toby,Jan,Andy,Kevin,Angela,Dwight,Michael,Pam
1,Stanley,Jim,Michael,Dwight,Angela,Pam,Andy,Jan,Toby,Kevin
2,Toby,Pam,Jim,Michael,Dwight,Angela,Kevin,Andy,Jan,Stanley
3,Jan,Toby,Stanley,Jim,Michael,Dwight,Pam,Kevin,Andy,Angela
4,Andy,Jan,Pam,Stanley,Jim,Michael,Dwight,Angela,Kevin,Toby
5,Kevin,Andy,Jan,Toby,Stanley,Jim,Michael,Pam,Angela,Dwight
6,Angela,Kevin,Andy,Pam,Toby,Stanley,Jim,Michael,Dwight,Jan
7,Dwight,Angela,Kevin,Andy,Jan,Toby,Stanley,Jim,Pam,Michael
8,Michael,Dwight,Angela,Kevin,Pam,Jan,Toby,Stanley,Jim,Andy
9,Pam,Michael,Dwight,Angela,Kevin,Andy,Jan,Toby,Stanley,Jim
10,Stanley,Jim,Michael,Dwight,Angela,Pam,Andy,Jan,Toby,Kevin
11,Toby,Pam,Jim,Michael,Dwight,Angela,Kevin,Andy,Jan,Stanley
12,Jan,Toby,Stanley,Jim,Michael,Dwight,Pam,Kevin,Andy,Angela
13,Andy,Jan,Pam,Stanley,Jim,Michael,Dwight,Angela,Kevin,Toby
14,Kevin,Andy,Jan,Toby,Stanley,Jim,Michael,Pam,Angela,Dwight
15,Angela,Kevin,Andy,Pam,Toby,Stanley,Jim,Michael,Dwight,Jan